bot_id,name,description,total_trades,wins,losses,win_rate,initial_bankroll,final_bankroll,total_profit,roi,total_wagered,total_fees,max_win_streak,max_loss_streak
s3_sentiment_odds75_wait3,Sentiment 75c (Wait 3m),"Bets WITH the favorite when YES/NO hits 75c, after 3 min",23,16,7,69.56521739130434,1000,963.6874180000002,-36.31258199999979,-3.6312581999999796,230,3.3125819999999995,5,3
s2_dynamic_wait4_edge12,"Dynamic Wait 4m, Edge 12%","Waits 4 min, then enters when edge >= 12%",16,7,9,43.75,1000,963.0069419999998,-36.99305800000025,-3.6993058000000243,160,4.9930579999999996,2,4
s1_fixed_min_8,Fixed Minute 8,Only bets at minute 8 (6 min left). Persistence: 79.2%,8,3,5,37.5,1000,962.899482,-37.100517999999965,-3.7100517999999965,80,2.100518,1,4
s2_dynamic_wait5_edge30,"Dynamic Wait 5m, Edge 30%","Waits 5 min, then enters when edge >= 30%",8,2,6,25.0,1000,962.8596809999998,-37.140319000000204,-3.7140319000000206,80,3.1403190000000003,1,5
s1_fixed_min_5,Fixed Minute 5,Only bets at minute 5 (9 min left). Persistence: 71.3%,12,5,7,41.66666666666667,1000,962.8055709999998,-37.19442900000024,-3.719442900000024,120,3.1944290000000004,2,3
s3_sentiment_odds85_wait5,Sentiment 85c (Wait 5m),"Bets WITH the favorite when YES/NO hits 85c, after 5 min",23,18,5,78.26086956521739,1000,962.2941700000001,-37.70582999999988,-3.770582999999988,230,1.7058300000000002,8,1
s2_dynamic_wait4_edge5,"Dynamic Wait 4m, Edge 5%","Waits 4 min, then enters when edge >= 5%",16,7,9,43.75,1000,962.0985719999998,-37.90142800000024,-3.790142800000024,160,4.901428000000001,2,4
s3_sentiment_odds75_wait10,Sentiment 75c (Wait 10m),"Bets WITH the favorite when YES/NO hits 75c, after 10 min",22,17,5,77.27272727272727,1000,961.4417720000001,-38.55822799999987,-3.8558227999999874,220,1.558228,5,1
s2_dynamic_wait4_edge15,"Dynamic Wait 4m, Edge 15%","Waits 4 min, then enters when edge >= 15%",15,6,9,40.0,1000,961.1458989999999,-38.85410100000013,-3.8854101000000125,150,4.854101,2,4
s3_sentiment_odds80_wait10,Sentiment 80c (Wait 10m),"Bets WITH the favorite when YES/NO hits 80c, after 10 min",22,17,5,77.27272727272727,1000,960.5571530000001,-39.442846999999915,-3.9442846999999914,220,1.4428469999999998,5,1
s3_sentiment_odds65_wait1,Sentiment 65c (Wait 1m),"Bets WITH the favorite when YES/NO hits 65c, after 1 min",23,14,9,60.86956521739131,1000,957.2710520000003,-42.72894799999972,-4.272894799999972,230,4.728948000000001,4,4
s3_sentiment_odds80_wait3,Sentiment 80c (Wait 3m),"Bets WITH the favorite when YES/NO hits 80c, after 3 min",23,16,7,69.56521739130434,1000,957.2576660000002,-42.7423339999998,-4.2742333999999795,230,2.7423339999999996,5,3
s3_sentiment_odds75_wait5,Sentiment 75c (Wait 5m),"Bets WITH the favorite when YES/NO hits 75c, after 5 min",23,16,7,69.56521739130434,1000,957.1605200000004,-42.83947999999964,-4.283947999999964,230,2.8394800000000004,5,3
s3_sentiment_odds70_wait3,Sentiment 70c (Wait 3m),"Bets WITH the favorite when YES/NO hits 70c, after 3 min",23,15,8,65.21739130434783,1000,957.1414670000004,-42.858532999999625,-4.285853299999962,230,3.858533,5,3
s2_dynamic_wait3_edge5,"Dynamic Wait 3m, Edge 5%","Waits 3 min, then enters when edge >= 5%",16,7,9,43.75,1000,956.278339,-43.72166100000004,-4.372166100000004,160,4.721661,2,3
s3_sentiment_odds75_wait1,Sentiment 75c (Wait 1m),"Bets WITH the favorite when YES/NO hits 75c, after 1 min",23,15,8,65.21739130434783,1000,955.5363650000004,-44.46363499999961,-4.446363499999961,230,3.463635,5,3
s3_sentiment_odds85_wait0,Sentiment 85c (Wait 0m),"Bets WITH the favorite when YES/NO hits 85c, after 0 min",23,17,6,73.91304347826086,1000,954.0499679999999,-45.95003200000008,-4.595003200000008,230,1.9500320000000002,5,1
s3_sentiment_odds85_wait1,Sentiment 85c (Wait 1m),"Bets WITH the favorite when YES/NO hits 85c, after 1 min",23,17,6,73.91304347826086,1000,954.0499679999999,-45.95003200000008,-4.595003200000008,230,1.9500320000000002,5,1
s3_sentiment_odds85_wait2,Sentiment 85c (Wait 2m),"Bets WITH the favorite when YES/NO hits 85c, after 2 min",23,17,6,73.91304347826086,1000,954.0499679999999,-45.95003200000008,-4.595003200000008,230,1.9500320000000002,5,1
s3_sentiment_odds85_wait3,Sentiment 85c (Wait 3m),"Bets WITH the favorite when YES/NO hits 85c, after 3 min",23,17,6,73.91304347826086,1000,954.044501,-45.95549900000003,-4.5955499000000035,230,1.9554990000000003,5,1
s3_sentiment_odds75_wait7,Sentiment 75c (Wait 7m),"Bets WITH the favorite when YES/NO hits 75c, after 7 min",23,17,6,73.91304347826086,1000,953.7957770000002,-46.20422299999984,-4.620422299999984,230,2.204223,5,1
s3_sentiment_odds75_wait2,Sentiment 75c (Wait 2m),"Bets WITH the favorite when YES/NO hits 75c, after 2 min",23,15,8,65.21739130434783,1000,953.5987560000002,-46.40124399999979,-4.640124399999979,230,3.4012439999999993,5,3
s3_sentiment_odds65_wait5,Sentiment 65c (Wait 5m),"Bets WITH the favorite when YES/NO hits 65c, after 5 min",23,15,8,65.21739130434783,1000,952.4948900000002,-47.50510999999983,-4.750510999999983,230,3.505110000000001,5,3
s3_sentiment_odds80_wait5,Sentiment 80c (Wait 5m),"Bets WITH the favorite when YES/NO hits 80c, after 5 min",23,16,7,69.56521739130434,1000,951.5921890000003,-48.4078109999997,-4.84078109999997,230,2.4078109999999997,5,3
s2_dynamic_wait2_edge12,"Dynamic Wait 2m, Edge 12%","Waits 2 min, then enters when edge >= 12%",16,6,10,37.5,1000,950.5684689999998,-49.43153100000018,-4.943153100000018,160,5.431531,2,5
s3_sentiment_odds70_wait5,Sentiment 70c (Wait 5m),"Bets WITH the favorite when YES/NO hits 70c, after 5 min",23,15,8,65.21739130434783,1000,949.8645530000005,-50.135446999999544,-5.0135446999999544,230,3.135447,5,3
s3_sentiment_odds65_wait3,Sentiment 65c (Wait 3m),"Bets WITH the favorite when YES/NO hits 65c, after 3 min",23,14,9,60.86956521739131,1000,949.6362,-50.36379999999997,-5.036379999999998,230,4.3637999999999995,5,4
s3_sentiment_odds70_wait2,Sentiment 70c (Wait 2m),"Bets WITH the favorite when YES/NO hits 70c, after 2 min",23,14,9,60.86956521739131,1000,948.9633170000004,-51.036682999999584,-5.103668299999958,230,4.036683,5,3
s2_dynamic_wait2_edge15,"Dynamic Wait 2m, Edge 15%","Waits 2 min, then enters when edge >= 15%",15,5,10,33.33333333333333,1000,948.7976839999998,-51.20231600000022,-5.1202316000000225,150,5.202316000000001,1,5
s3_sentiment_odds70_wait7,Sentiment 70c (Wait 7m),"Bets WITH the favorite when YES/NO hits 70c, after 7 min",23,16,7,69.56521739130434,1000,948.4051910000003,-51.594808999999714,-5.159480899999972,230,2.5948090000000006,5,3
s3_sentiment_odds55_wait3,Sentiment 55c (Wait 3m),"Bets WITH the favorite when YES/NO hits 55c, after 3 min",23,13,10,56.52173913043478,1000,947.7123959999997,-52.28760400000033,-5.2287604000000325,230,5.287604,5,4
s3_sentiment_odds55_wait5,Sentiment 55c (Wait 5m),"Bets WITH the favorite when YES/NO hits 55c, after 5 min",23,14,9,60.86956521739131,1000,946.0600359999999,-53.939964000000145,-5.393996400000015,230,3.9399640000000007,5,3
s3_sentiment_odds80_wait0,Sentiment 80c (Wait 0m),"Bets WITH the favorite when YES/NO hits 80c, after 0 min",23,15,8,65.21739130434783,1000,945.2412860000002,-54.75871399999983,-5.475871399999983,230,2.758714,5,3
s3_sentiment_odds80_wait1,Sentiment 80c (Wait 1m),"Bets WITH the favorite when YES/NO hits 80c, after 1 min",23,15,8,65.21739130434783,1000,945.2361620000001,-54.76383799999985,-5.476383799999985,230,2.763838,5,3
s3_sentiment_odds80_wait2,Sentiment 80c (Wait 2m),"Bets WITH the favorite when YES/NO hits 80c, after 2 min",23,15,8,65.21739130434783,1000,945.220622,-54.77937799999995,-5.477937799999995,230,2.7793779999999995,5,3
s3_sentiment_odds65_wait2,Sentiment 65c (Wait 2m),"Bets WITH the favorite when YES/NO hits 65c, after 2 min",23,13,10,56.52173913043478,1000,944.3481989999999,-55.65180100000009,-5.565180100000009,230,4.651801,5,4
s3_sentiment_odds55_wait7,Sentiment 55c (Wait 7m),"Bets WITH the favorite when YES/NO hits 55c, after 7 min",23,15,8,65.21739130434783,1000,943.9186070000001,-56.081392999999935,-5.608139299999994,230,3.0813930000000016,5,3
s1_fixed_min_6,Fixed Minute 6,Only bets at minute 6 (8 min left). Persistence: 74.1%,13,5,8,38.46153846153847,1000,943.3018859999997,-56.69811400000026,-5.669811400000026,130,3.698114000000001,1,4
s2_dynamic_wait2_edge5,"Dynamic Wait 2m, Edge 5%","Waits 2 min, then enters when edge >= 5%",17,7,10,41.17647058823529,1000,942.8699099999999,-57.13009000000011,-5.713009000000011,170,5.130090000000001,2,2
s2_dynamic_wait3_edge10,"Dynamic Wait 3m, Edge 10%","Waits 3 min, then enters when edge >= 10%",16,6,10,37.5,1000,941.8843369999998,-58.115663000000154,-5.811566300000016,160,5.1156630000000005,1,3
s3_sentiment_odds60_wait5,Sentiment 60c (Wait 5m),"Bets WITH the favorite when YES/NO hits 60c, after 5 min",23,14,9,60.86956521739131,1000,941.2916379999999,-58.70836200000008,-5.870836200000007,230,3.7083620000000006,5,3
s3_sentiment_odds60_wait7,Sentiment 60c (Wait 7m),"Bets WITH the favorite when YES/NO hits 60c, after 7 min",23,15,8,65.21739130434783,1000,941.042157,-58.957843000000025,-5.8957843000000025,230,2.9578430000000013,5,3
